dates,product grams
 Apr Tue 10,11.8
 Apr Wed 11,11.8
 Apr Sat 14,38.7
 Apr Mon 16,48.3
 Apr Wed 18,59
 Apr Thu 19,11.3
 Apr Fri 20,22.6
 Apr Sat 21,45.7
 Apr Tue 24,33.9
 Apr Wed 25,47
 Apr Thu 26,56.4
 Apr Fri 27,113.7
 Apr Sat 28,135.1
 Apr Sun 29,72.6
 Apr Mon 30,96.4
 May Tue 1,76.7
 May Wed 2,75
 May Thu 3,60.5
 May Fri 4,54.3
 May Sat 5,75.7
 May Sun 6,93.4
 May Mon 7,9.3
 May Tue 8,139.5
 May Wed 9,186.4
 May Thu 10,140.5
 May Fri 11,69.4
 May Sat 12,23.5
 May Sun 13,57.5
 May Tue 15,7
 May Wed 16,19
 May Thu 17,67.5
 May Fri 18,74.1
 May Sat 19,93.3
 May Sun 20,19.5
 May Mon 21,73.4
 May Tue 22,22.6
 May Wed 23,23.8
 May Thu 24,91.1
 May Sat 26,122
 May Sun 27,44.2
 May Mon 28,40.7
 May Tue 29,33.9
