date chart,date,product grams
 Apr Tue 10,4/10/2018,11.8
 Apr Wed 11,4/11/2018,11.8
 Apr Thu 12,4/12/2018,0
 Apr Fri 13,4/13/2018,0
 Apr Sat 14,4/14/2018,38.7
 Apr Sun 15,4/15/2018,0
 Apr Mon 16,4/16/2018,48.3
 Apr Tue 17,4/17/2018,0
 Apr Wed 18,4/18/2018,59
 Apr Thu 19,4/19/2018,11.3
 Apr Fri 20,4/20/2018,22.6
 Apr Sat 21,4/21/2018,45.7
 Apr Sun 22,4/22/2018,0
 Apr Mon 23,4/23/2018,0
 Apr Tue 24,4/24/2018,33.9
 Apr Wed 25,4/25/2018,47
 Apr Thu 26,4/26/2018,56.4
 Apr Fri 27,4/27/2018,113.7
 Apr Sat 28,4/28/2018,135.1
 Apr Sun 29,4/29/2018,72.6
 Apr Mon 30,4/30/2018,96.4
 May Tue 1,5/1/2018,76.7
 May Wed 2,5/2/2018,75
 May Thu 3,5/3/2018,60.5
 May Fri 4,5/4/2018,54.3
 May Sat 5,5/5/2018,75.7
 May Sun 6,5/6/2018,93.4
 May Mon 7,5/7/2018,9.3
 May Tue 8,5/8/2018,139.5
 May Wed 9,5/9/2018,186.4
 May Thu 10,5/10/2018,140.5
 May Fri 11,5/11/2018,69.4
 May Sat 12,5/12/2018,23.5
 May Sun 13,5/13/2018,57.5
 May Mon 14,5/14/2018,0
 May Tue 15,5/15/2018,7
 May Wed 16,5/16/2018,19
 May Thu 17,5/17/2018,67.5
 May Fri 18,5/18/2018,74.1
 May Sat 19,5/19/2018,93.3
 May Sun 20,5/20/2018,19.5
 May Mon 21,5/21/2018,73.4
 May Tue 22,5/22/2018,22.6
 May Wed 23,5/23/2018,23.8
 May Thu 24,5/24/2018,91.1
 May Fri 25,5/25/2018,0
 May Sat 26,5/26/2018,122
 May Sun 27,5/27/2018,44.2
 May Mon 28,5/28/2018,40.7
 May Tue 29,5/29/2018,33.9
 May Wed 30,5/30/2018,11.8
 May Thu 31,5/31/2018,11.8
 Jun Fri 1,6/1/2018,0
 Jun Sat 2,6/2/2018,38.7
 Jun Sun 3,6/3/2018,38.7
 Jun Mon 4,6/4/2018,48.3
 Jun Tue 5,6/5/2018,11.8
 Jun Wed 6,6/6/2018,11.8
 Jun Thu 7,6/7/2018,0
 Jun Fri 8,6/8/2018,22.6
 Jun Sat 9,6/9/2018,45.7
 Jun Sun 10,6/10/2018,45.7
 Jun Mon 11,6/11/2018,0
 Jun Tue 12,6/12/2018,0
 Jun Wed 13,6/13/2018,59
 Jun Thu 14,6/14/2018,11.3
 Jun Fri 15,6/15/2018,113.7
 Jun Sat 16,6/16/2018,135.1
 Jun Sun 17,6/17/2018,135.1
 Jun Mon 18,6/18/2018,96.4
 Jun Tue 19,6/19/2018,33.9
 Jun Wed 20,6/20/2018,47
 Jun Thu 21,6/21/2018,56.4
 Jun Fri 22,6/22/2018,54.3
 Jun Sat 23,6/23/2018,75.7
 Jun Sun 24,6/24/2018,75.7
 Jun Mon 25,6/25/2018,9.3
 Jun Tue 26,6/26/2018,76.7
 Jun Wed 27,6/27/2018,75
 Jun Thu 28,6/28/2018,60.5
 Jun Fri 29,6/29/2018,69.4
 Jun Sat 30,6/30/2018,23.5
 Jul Sun 1,7/1/2018,23.5
 Jul Mon 2,7/2/2018,0
 Jul Tue 3,7/3/2018,139.5
 Jul Wed 4,7/4/2018,19
 Jul Thu 5,7/5/2018,67.5
 Jul Fri 6,7/6/2018,74.1
 Jul Sat 7,7/7/2018,93.3
 Jul Sun 8,7/8/2018,93.3
 Jul Mon 9,7/9/2018,73.4
 Jul Tue 10,7/10/2018,7
 Jul Wed 11,7/11/2018,23.8
 Jul Thu 12,7/12/2018,91.1
 Jul Fri 13,7/13/2018,0
 Jul Sat 14,7/14/2018,122
 Jul Sun 15,7/15/2018,122
 Jul Mon 16,7/16/2018,40.7
 Jul Tue 17,7/17/2018,22.6
 Jul Wed 18,7/18/2018,11.8
 Jul Thu 19,7/19/2018,11.8
 Jul Fri 20,7/20/2018,0
 Jul Sat 21,7/21/2018,38.7
 Jul Sun 22,7/22/2018,0
 Jul Mon 23,7/23/2018,48.3
 Jul Tue 24,7/24/2018,33.9
 Jul Wed 25,7/25/2018,11.8
 Jul Thu 26,7/26/2018,0
 Jul Fri 27,7/27/2018,22.6
 Jul Sat 28,7/28/2018,45.7
 Jul Sun 29,7/29/2018,22.6
 Jul Mon 30,7/30/2018,0
 Jul Tue 31,7/31/2018,11.8
 Aug Wed 1,8/1/2018,59
 Aug Thu 2,8/2/2018,11.3
 Aug Fri 3,8/3/2018,113.7
 Aug Sat 4,8/4/2018,135.1
 Aug Sun 5,8/5/2018,113.7
 Aug Mon 6,8/6/2018,96.4
 Aug Tue 7,8/7/2018,0
 Aug Wed 8,8/8/2018,47
 Aug Thu 9,8/9/2018,56.4
 Aug Fri 10,8/10/2018,54.3
 Aug Sat 11,8/11/2018,75.7
 Aug Sun 12,8/12/2018,54.3
 Aug Mon 13,8/13/2018,9.3
 Aug Tue 14,8/14/2018,33.9
 Aug Wed 15,8/15/2018,75
 Aug Thu 16,8/16/2018,60.5
 Aug Fri 17,8/17/2018,69.4
 Aug Sat 18,8/18/2018,23.5
 Aug Sun 19,8/19/2018,69.4
 Aug Mon 20,8/20/2018,0
 Aug Tue 21,8/21/2018,76.7
 Aug Wed 22,8/22/2018,19
 Aug Thu 23,8/23/2018,67.5
 Aug Fri 24,8/24/2018,74.1
 Aug Sat 25,8/25/2018,93.3
 Aug Sun 26,8/26/2018,74.1
 Aug Mon 27,8/27/2018,73.4
 Aug Tue 28,8/28/2018,139.5
 Aug Wed 29,8/29/2018,23.8
 Aug Thu 30,8/30/2018,91.1
 Aug Fri 31,8/31/2018,0
 Sep Sat 1,9/1/2018,122
 Sep Sun 2,9/2/2018,0
 Sep Mon 3,9/3/2018,40.7
 Sep Tue 4,9/4/2018,7
 Sep Wed 5,9/5/2018,11.8
 Sep Thu 6,9/6/2018,11.8
 Sep Fri 7,9/7/2018,0
 Sep Sat 8,9/8/2018,38.7
 Sep Sun 9,9/9/2018,0
 Sep Mon 10,9/10/2018,48.3
 Sep Tue 11,9/11/2018,22.6
 Sep Wed 12,9/12/2018,11.8
 Sep Thu 13,9/13/2018,0
 Sep Fri 14,9/14/2018,22.6
 Sep Sat 15,9/15/2018,45.7
 Sep Sun 16,9/16/2018,11.3
 Sep Mon 17,9/17/2018,0
 Sep Tue 18,9/18/2018,33.9
 Sep Wed 19,9/19/2018,59
 Sep Thu 20,9/20/2018,11.3
 Sep Fri 21,9/21/2018,113.7
 Sep Sat 22,9/22/2018,135.1
 Sep Sun 23,9/23/2018,56.4
 Sep Mon 24,9/24/2018,96.4
 Sep Tue 25,9/25/2018,11.8
